Date_of_Publication,Main_Heading,Sentiment_Score,Label
apr 5 2024,CNBC Daily Open: Risk aversion in vogue,0.016694805194805193,bullish
apr 5 2024,"Gold has broken through the $2,300 level, and one market veteran has a bullish call looking ahead",0.08103070175438597,bullish
apr 4 2024,CNBC Daily Open: Safe havens in vogue,0.03183364254792826,bullish
apr 4 2024,CNBC Daily Open: Disney wins proxy fight,0.06893687707641197,bullish
apr 3 2024,CNBC Daily Open: Disney wins proxy showdown,0.0468975468975469,bullish
apr 3 2024,Jim Cramer says the AI buzz is far from a bubble — the game has yet to start,-0.04742857142857143,bearish
apr 3 2024,JetBlue introduces peak pricing to baggage fees,0.4,bullish
apr 1 2024,Gold prices are at an all-time high—but experts like Warren Buffett don’t always recommend investing,0.05924719348448163,bullish
apr 1 2024,5 things to know before the stock market opens Monday,0.20596445221445223,bullish
apr 1 2024,Flying cars — or eVTOLs — are becoming reality. Would you ride in one?,0.14522163242401334,bullish
apr 1 2024,Gold prices hit another record high after fresh U.S. data spurs Fed cut expectations,0.13640056022408964,bullish
mar 30 2024,"Bitcoin could soar to $150,000 this year, hedge fund manager Mark Yusko predicts",-0.03636904761904762,bearish
mar 30 2024,Generative AI ‘FOMO’ is driving tech heavyweights to invest billions of dollars in startups,0.04212662337662338,bullish
mar 29 2024,"Trump’s deals to sell Bibles, sneakers and perfume are unprecedented for a presidential candidate, experts say",0.15018939393939396,bullish
mar 31 2024,Robinhood Gold Card announced — Earn 3% cash back everywhere,0.09865866456775549,bullish
mar 28 2024,"Overhauled Amex Hilton Business card — Up to $240 in statement credits, increased annual fee, lounge access ending and more",0.11899665257223398,bullish
mar 27 2024,"A majority of investors believe a stock market pullback is near, according to CNBC survey",0.1,bullish
mar 27 2024,CNBC Daily Open: Baltimore port shutdown a major disruption,0.07856684981684983,bullish
mar 26 2024,"India’s love for gold has done little for its economy and investors, BlackRock’s Larry Fink says",0.22254112554112557,bullish
mar 26 2024,CNBC’s best big bank savings accounts of 2024,0.18037337662337663,bullish
mar 26 2024,A global gold rush for buried hydrogen is underway — as hype builds over its clean energy potential,0.06812373001148507,bullish
mar 24 2024,Tammy Murphy drops out of NJ Senate Democratic primary to replace indicted Sen. Bob Menendez,0.1518037518037518,bullish
mar 22 2024,CNBC Daily Open: Inflation pressures continue to linger,0.12732753062540295,bullish
